[]
"['U72200PN2005PTC020916', 'CADSOFT DESIGNS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2015PTC153646', 'AETON SYSTEMS INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC142253', 'JADE GLOBAL SOFTWARE PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC205246', 'AKINFOSOL PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC207455', 'COINAGE COMMUNICATION PRIVATE LIMITED', 'Pune', 'Active']"
[]
"['U72900PN2022PTC208377', 'KIRANKARTI TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2012PTC196479', 'DRAVIN SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184060', 'ASMADIYA TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC170476', 'BIGGIGA TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189590', 'EVENTDTL PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2012PTC142263', 'NWORKS TECHNOLOGIES INDIA PRIVATE LIMITED', 'Pune', 'Active']"
"['U72200PN2011PTC209582', 'EVERFINE TECHNOLOGIES PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2021PTC204089', 'TECKULITES SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2017PTC172452', 'NOVELWORKS SOFTECH PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2020PTC189700', 'CADNEXT DIGITAL TRAINING PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2022PTC213059', 'WHIZ GIZMO PRIVATE LIMITED', 'Pune', 'Active']"
"['U72300PN2013PTC148097', 'ILIFE IT SOLUTIONS PRIVATE LIMITED', 'Pune', 'Active']"
"['U72900PN2019PTC184605', 'TRIPPLE P COMPUTERS PRIVATE LIMITED', 'Pune', 'Active']"
