[]
"['U72300WB2016PTC209570', 'FORMICA TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC244373', 'RESTO-G MEDIA AND COMMUNICATION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC258057', 'CONSISTLY SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72501WB2017PTC219370', 'ENTIOVI TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2012PTC177539', 'ANGITIA IT SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2000PTC091880', 'SILVERLAKE TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2021PTC245095', 'SHIODED ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2007PTC120146', 'PHIZ TECHNOLOGIES & SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC205060', 'TECHNOFECTION SOFTWARE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC229105', 'DESKFROG COMMUNICATIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2011PTC160099', 'LINKPOINT COMPUTER PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC251475', 'AINTZANE DIGITAL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC245093', 'HIGHTECHER ENTERPRISES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245345', 'TRINNERTY SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC248966', 'CYLABS DEFENCE RESEARCH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC204288', 'SQUADCORE SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2000PTC091406', 'WORLDWIDE SAFETY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2008PTC121693', 'AUTOMATION NETWORK AND SERVICES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2017PTC223789', 'SEAFY WEB SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245378', 'IDEAPIE VENTURES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC226043', 'NAKSH EDUCARE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2022PTC250905', 'IIKYER TRADERS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC245269', 'LEJANCY SALES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2004PTC100314', 'LEGAL OUTSOURCING PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2021PTC250246', 'CONTENTFLIX GLOBAL SOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72501WB2002PTC095042', 'TDK IPORT SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2000PTC091248', 'DULICHAND MOTORS PVT. LTD.', 'Kolkata', 'Active']"
"['U72900WB2020PTC239279', 'FORLOOP SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2011PTC170888', 'NUMERICO INFORMATIC SYSTEMS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2016PTC218024', 'REVERENT INFOSERVE PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC207848', 'UZEC TECHNOLOGIES PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2011PTC170623', 'GREENROUTE SOLUTION PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2022PTC258713', 'GLAMABERG IT SOLUTIONS PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2014PTC199442', 'SHRI INFOSOL PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72300WB2015PTC208940', 'EPIKENTROS TECHNOLOGY PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2020PTC239702', 'STARSHINE ANIMATION STUDIOS PRIVATE LIMITED', 'Kolkata', 'Active']"
[]
"['U72900WB2015PTC208271', 'TENSU INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72200WB2011PTC166510', 'LATIKA INFOTECH PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2021PTC246863', 'GNOIN PRIVATE LIMITED', 'Kolkata', 'Active']"
"['U72900WB2018PTC225428', 'ALEKOS TECHNOLOGIES INDIA PRIVATE LIMITED', 'Kolkata', 'Active']"
