[]
"['U72900TG2022PTC164339', 'CURIS COMMUNICATIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG1999PTC033129', 'PAROMA NETCOM PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72909TG2021PTC150030', 'ENVISAGE INTEGRATED SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC165212', 'INTELLISOFT SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2015PTC098121', 'SPECKLE INTERNET SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC125873', 'BRANDWAR BUSINESS SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC153215', 'IGEN AMERICAN SOFTWARES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2004PTC042465', 'PYTHIAN INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC168830', 'SAADRUSO SOFTWARE SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72300TG2021PTC149253', 'S SQUARE MEDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC159729', 'PEABODY SOFT PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC143499', 'SUNOTAL PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC140133', 'SERVICEQ PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC143107', 'AMBIQUEST PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC134832', 'CODECREEKS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72213TG2016PTC109246', 'JUGAT SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72300TG2015PTC098879', 'CCUBE FINTECH GLOBAL SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2021PTC152825', 'DRONEAVE TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC158884', 'KROMAX TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
[]
"['U72100TG2013PTC091825', 'SEAMLESS TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2019PTC133419', 'SREE VIZAYA TECHNOLOGIES INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC148837', 'ADISOLS TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC137256', 'ISYM TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC136403', 'SIMPLYJITH CONSULTING INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2007PTC055589', 'ASTUTE BUSINESS SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC166100', 'METAPROFMA SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2022PTC166388', 'EUCLIDEAN TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC166355', 'FISLOK SOFTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC146673', 'AEROPELICAN TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2020PTC141779', 'JRR CLOUD FORCE PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72500TG2018PTC123428', 'YEEVOL TECHNOLOGY AND SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC167546', 'REWRITE INNOVATIVE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC159324', 'BIZLYFE INFOTECH PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2008PTC058582', 'NV LOGIC TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC166866', 'UPTECH TREE INDIA PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2021PTC149894', 'APPSEONIT TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC158968', 'CRANLOM TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2018PTC125901', 'SHRISANSA ANIMSTUDIO PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC168253', 'SMARTSQUAD INNOVATIVE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC167098', 'TRILLION APPS TECHNOLOGY PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC169505', 'OPSDIGI SYSTEMS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2016PTC109471', 'INVION IT SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2017PTC114103', 'VERDIN TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2019PTC136712', 'DNZ TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC167465', 'FLAMESESS SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC167549', 'ZENT SOFTWARE TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2008PTC058418', 'GENEX TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2017PTC119369', 'MFIT TECHNOLOGIES PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC168148', 'UNIFIEDD CYBER SECURITY SERVICES PRIVATE LIMITED', 'Hyderabad', 'Active']"
[]
"['U72900TG2018PTC126619', 'SOX IT LABS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72200TG2021PTC154459', 'AVANTIME BUSINESS SOLUTIONS PRIVATE LIMITED', 'Hyderabad', 'Active']"
"['U72900TG2022PTC164579', 'SOFTEVOLVE SOLUTION PRIVATE LIMITED', 'Hyderabad', 'Active']"
